gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	FOXN4	IRC	Ionocyte	MC	MoMa	NK	NKT	NKT-p	Neu	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.007	0.001	0.015	0.007	0.065	0.04	0.015	0.0	0.0	0.24	0.0	0.001	0.0	0.03	0.014	0.017	0.0	0.002	0.015	0.0	0.011
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.007	0.005	0.01	0.019	0.025	0.247	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.015	0.007	0.013	0.012	0.046	0.06	0.0	0.014
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.007	0.004	0.431	0.0	0.004	0.01	0.0	0.0	0.0	0.0	0.0	0.084	0.049	0.004	0.003	0.012	0.006	0.078	0.007	0.036	0.0	0.047
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.001	0.024	0.001	0.934	0.195	0.699	0.196	0.634	0.0	0.0	0.0	0.012	0.059	0.002	0.757	0.226	0.294	0.0	0.014	0.006	0.122	0.009
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.0	0.001	0.017	0.0	0.0	0.0	0.0	0.158	0.0	0.002	0.032	0.046	0.0	0.001	0.0	0.0	0.028	0.528	0.0	0.008
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.316	0.343	0.118	0.173	0.111	0.308	0.286	0.102	0.0	0.674	0.0	0.133	0.311	0.1	0.431	0.158	0.155	0.179	0.487	0.473	0.268	0.485
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.009	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.202	0.198	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.043	0.046	0.0	0.003
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.081	0.0	0.12	0.045	0.007	0.022	0.016	0.073	0.0	0.0	0.0	0.011	0.011	0.009	0.116	0.034	0.032	0.08	0.001	0.022	0.0	0.005
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.005	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.003	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.003	0.0	0.003	0.011	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.005	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.003	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	1.313	0.093	0.88	0.023	0.086	0.241	0.255	0.135	1.367	0.347	1.528	0.158	0.196	1.066	0.426	0.186	0.121	0.87	0.163	1.433	0.445	0.248
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.005	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.003	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.003	0.0	0.003	0.011	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.019	0.094	0.19	0.312	0.22	0.5	0.664	0.155	2.33	2.045	1.815	0.091	0.269	0.818	0.853	0.527	0.38	0.371	0.387	3.074	0.002	0.354
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.0	0.101	0.003	0.047	0.048	0.431	0.366	0.01	0.0	0.0	0.0	0.019	0.023	0.006	0.6	0.235	0.047	0.005	0.006	0.005	0.0	0.013
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.004	0.0	0.009	0.015	0.009	0.048	0.015	0.0	0.0	0.15	0.0	0.0	0.005	0.002	0.03	0.007	0.006	0.003	0.0	0.034	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.005	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.0	0.0	0.003	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.003	0.0	0.003	0.011	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.032	0.0	0.099	0.024	0.16	0.023	0.028	0.0	0.0	0.0	0.0	0.001	0.002	0.259	0.036	0.043	0.0	0.004	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003	0.005	0.018	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.0	0.001	0.017	0.0	0.0	0.0	0.0	0.158	0.0	0.002	0.032	0.046	0.0	0.001	0.0	0.0	0.028	0.528	0.0	0.008
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.664	0.012	0.635	0.067	0.046	0.004	0.016	0.003	0.859	0.914	0.143	0.16	0.116	0.421	0.017	0.017	0.075	0.75	0.177	0.481	0.343	0.183
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.003	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.001	0.0	0.0	0.0	0.0	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.024	0.0	0.003	0.016	0.008	0.005	0.04	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.01	0.002	0.0	0.0	0.0	0.018	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.004	0.02	0.0	0.026	0.007	0.039	0.027	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.056	0.02	0.155	0.0	0.004	0.002	0.0	0.006
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.006
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.002	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.015	0.0	0.004	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.072	0.0	0.03	0.003	0.002	0.0	0.0	0.341	0.2	0.0	0.142	0.003	0.015	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.001
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.003	0.008	0.013	0.0	0.029	0.0	0.021	0.0	0.0	0.769	0.0	0.012	0.008	1.274	0.001	0.027	0.001	0.009	0.021	0.132	0.0	0.032
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2.195	0.858	3.363	2.602	1.546	2.914	2.89	3.678	1.827	3.033	2.105	0.997	1.475	2.731	3.248	2.841	1.539	3.063	1.581	1.922	1.927	1.22
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0528A694B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.276	0.059	0.502	0.465	0.119	0.73	0.088	0.528	0.365	0.27	0.404	0.068	0.169	0.233	0.845	0.264	0.347	0.616	0.186	0.542	0.318	0.104
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.003	0.064	0.004	0.488	0.092	0.625	0.165	0.406	0.0	0.0	0.0	0.011	0.052	0.006	0.718	0.212	0.34	0.001	0.004	0.002	0.0	0.001
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.178	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.014	0.001	0.0	0.002	0.0	0.309	0.001	0.0	0.0	0.001
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.003	0.008	0.013	0.0	0.029	0.0	0.021	0.0	0.0	0.769	0.0	0.012	0.008	1.274	0.001	0.027	0.001	0.009	0.021	0.132	0.0	0.032
GPR42	O15529	False	GPR42_HUMAN		CPI-SS022AE18AF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.134	0.05	0.152	0.197	0.063	0.298	0.027	0.662	0.0	0.144	0.24	0.022	0.043	0.019	0.372	0.16	0.1	0.18	0.033	0.062	0.109	0.021
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.003	0.008	0.013	0.0	0.029	0.0	0.021	0.0	0.0	0.769	0.0	0.012	0.008	1.274	0.001	0.027	0.001	0.009	0.021	0.132	0.0	0.032
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	2.195	0.858	3.363	2.602	1.546	2.914	2.89	3.678	1.827	3.033	2.105	0.997	1.475	2.731	3.248	2.841	1.539	3.063	1.581	1.922	1.927	1.22
GAST	P01350	False	GAST_HUMAN		CPI-SS079FD6EC6	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.051	0.0	0.0	0.003	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	2.195	0.858	3.363	2.602	1.546	2.914	2.89	3.678	1.827	3.033	2.105	0.997	1.475	2.731	3.248	2.841	1.539	3.063	1.581	1.922	1.927	1.22
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.276	0.059	0.502	0.465	0.119	0.73	0.088	0.528	0.365	0.27	0.404	0.068	0.169	0.233	0.845	0.264	0.347	0.616	0.186	0.542	0.318	0.104
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0D26F639E	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.211	0.0	0.68	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.053	0.003	0.0	0.004	0.0	0.365	0.012	0.001	0.733	0.029
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.006	0.0	0.096	0.001	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.006	0.019	0.003	0.008	0.003	0.001	0.217	0.001	0.001	0.173	0.004
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.168	0.028	0.046	0.007	0.049	0.0	0.016	0.015	0.0	0.994	0.876	0.031	0.046	1.64	0.002	0.022	0.005	0.022	0.188	0.739	0.0	0.107
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.178	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.014	0.001	0.0	0.002	0.0	0.309	0.001	0.0	0.0	0.001
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.025	0.0	0.043	0.0	0.025
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.178	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.014	0.001	0.0	0.002	0.0	0.309	0.001	0.0	0.0	0.001
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	3.334	0.548	0.989	0.426	0.547	0.157	0.365	0.052	0.431	1.252	0.505	0.708	1.765	0.128	0.248	0.266	0.043	0.47	3.272	1.158	2.356	3.575
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.0	0.0	0.0	0.009	0.002	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.004	0.004	0.0	0.0	0.003	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.022	0.012	0.374	0.096	0.393	0.181	0.197	0.0	0.0	0.0	0.014	0.02	0.012	0.729	0.173	0.539	0.014	0.004	0.005	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	4.125	0.778	1.095	2.402	1.414	1.979	2.259	0.775	1.211	2.784	0.982	0.717	2.155	0.319	2.372	1.801	0.217	0.799	3.571	2.391	3.587	3.295
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.209	0.013	0.072	0.034	0.031	0.009	0.194	0.019	0.195	0.476	0.451	0.01	0.01	0.788	0.054	0.045	0.242	0.087	0.027	0.458	0.205	0.084
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.007	0.055	0.345	0.242	0.063	0.216	0.082	0.235	0.0	1.133	0.24	0.07	0.039	0.477	0.439	0.127	0.237	0.358	0.078	0.23	0.128	0.076
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.004	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.544	0.006	0.454	0.005	0.035	0.0	0.037	0.043	0.0	0.358	0.0	0.053	0.12	1.142	0.001	0.011	0.003	0.582	0.114	1.007	0.384	0.156
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.022	0.012	0.374	0.096	0.393	0.181	0.197	0.0	0.0	0.0	0.014	0.02	0.012	0.729	0.173	0.539	0.014	0.004	0.005	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.125	0.778	1.095	2.402	1.414	1.979	2.259	0.775	1.211	2.784	0.982	0.717	2.155	0.319	2.372	1.801	0.217	0.799	3.571	2.391	3.587	3.295
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.004	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07F042076	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0	0.025	0.0	0.207	0.039	0.271	0.036	1.125	0.0	0.0	0.0	0.0	0.023	0.001	0.329	0.106	0.109	0.0	0.004	0.0	0.0	0.003
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.313	0.093	0.88	0.023	0.086	0.241	0.255	0.135	1.367	0.347	1.528	0.158	0.196	1.066	0.426	0.186	0.121	0.87	0.163	1.433	0.445	0.248
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.0	0.007	0.0	0.457	0.064	0.023	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.015	0.008	0.0	0.0	0.005	0.004	0.0	0.004
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	3.334	0.548	0.989	0.426	0.547	0.157	0.365	0.052	0.431	1.252	0.505	0.708	1.765	0.128	0.248	0.266	0.043	0.47	3.272	1.158	2.356	3.575
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	1.102	0.0	0.001	0.001	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.032	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.441	0.012	0.292	0.208	0.041	0.3	0.112	0.172	0.0	0.114	0.0	0.033	0.067	0.062	0.215	0.068	0.042	0.306	0.052	0.434	0.534	0.063
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.808	0.017	0.009	0.126	0.034	0.107	0.181	0.046	0.0	0.931	0.146	0.004	0.071	0.008	0.228	0.079	0.026	0.011	0.078	0.146	0.056	0.143
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.124	0.011	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.259	0.005
