gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	FOXN4	IRC	Ionocyte	MC	MoMa	NK	NKT	NKT-p	Neu	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.0	0.014	0.004	0.03	0.028	0.06	0.0	0.0	0.0	0.0	0.002	0.002	0.03	0.015	0.018	0.002	0.0	0.037	0.0	0.033
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.004	0.0	0.008	0.012	0.008	0.114	0.0	0.037	0.47	0.018	0.0	0.0	0.007	0.001	0.019	0.008	0.005	0.003	0.038	0.031	0.276	0.058
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.318	0.0	0.003	0.0	0.0	0.0	0.0	0.01	0.0	0.041	0.024	0.002	0.002	0.0	0.001	0.045	0.002	0.067	0.0	0.018
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.002	0.149	0.019	0.921	0.277	0.638	0.344	0.559	0.0	0.0	0.843	0.031	0.172	0.002	0.78	0.246	0.154	0.013	0.014	0.0	0.0	0.036
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.008	0.0	0.02	0.004	0.072	0.005	0.068	0.168	0.0	0.331	1.095	0.0	0.049	0.062	0.011	0.068	0.057	0.005	0.492	0.869	0.0	0.05
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.257	0.145	0.146	0.117	0.052	0.336	0.317	0.053	0.696	1.226	0.087	0.05	0.163	0.087	0.516	0.193	0.236	0.166	0.588	0.527	0.079	0.233
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.117	0.126	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.108	0.046	0.0	0.001
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.128	0.0	0.091	0.035	0.007	0.055	0.0	0.084	0.077	0.057	0.0	0.007	0.044	0.019	0.132	0.041	0.023	0.115	0.001	0.042	0.048	0.001
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.003	0.05	0.0	0.011	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.006	0.003	0.003	0.009	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.001	0.001	0.006	0.001	0.0	0.014	0.0	0.004	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.003	0.05	0.0	0.011	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.873	0.143	1.248	0.025	0.085	0.225	0.122	0.131	2.172	1.305	2.214	0.38	0.444	1.541	0.44	0.145	0.052	1.191	0.373	2.039	0.461	0.431
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.003	0.05	0.0	0.011	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.006	0.003	0.003	0.009	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.001	0.001	0.006	0.001	0.0	0.014	0.0	0.004	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.146	0.195	0.254	0.198	0.428	0.559	0.685	0.314	1.558	1.316	1.916	0.145	0.32	1.042	0.76	0.693	0.143	0.246	0.558	3.205	0.36	0.494
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.003	0.1	0.0	0.033	0.049	0.27	0.198	0.0	0.0	0.0	0.0	0.0	0.031	0.002	0.282	0.193	0.018	0.0	0.0	0.001	0.0	0.005
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.0	0.014	0.018	0.007	0.078	0.0	0.007	0.0	0.0	0.064	0.0	0.039	0.002	0.055	0.002	0.001	0.047	0.008	0.033	0.0	0.002
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.003	0.05	0.0	0.011	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.006	0.003	0.003	0.009	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.001	0.001	0.006	0.001	0.0	0.014	0.0	0.004	0.0	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.052	0.01	0.081	0.028	0.226	0.033	0.042	0.0	0.0	0.0	0.012	0.03	0.003	0.353	0.037	0.05	0.0	0.0	0.003	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.035	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	0.008	0.0	0.02	0.004	0.072	0.005	0.068	0.168	0.0	0.331	1.095	0.0	0.049	0.062	0.011	0.068	0.057	0.005	0.492	0.869	0.0	0.05
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.046	0.0	1.587	0.053	0.242	0.005	0.319	0.034	0.0	2.925	0.437	0.634	0.444	1.199	0.026	0.259	0.087	0.31	0.675	2.161	0.214	0.235
CCL16	O15467	False	CCL16_HUMAN		CPI-SS03A875239	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL1	P22362	False	CCL1_HUMAN		CPI-SS0B784A03E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.008	0.0	0.02	0.004	0.072	0.005	0.068	0.168	0.0	0.331	1.095	0.0	0.049	0.062	0.011	0.068	0.057	0.005	0.492	0.869	0.0	0.05
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.612	0.083	0.813	0.042	0.025	0.052	0.016	0.009	0.815	0.316	0.0	0.163	0.202	0.482	0.026	0.018	0.176	0.451	0.116	0.532	0.112	0.197
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.01	0.0	0.014	0.019	0.0	0.009	0.0	0.052	0.0	0.0	0.0	0.0	0.011	0.001	0.054	0.005	0.001	0.018	0.0	0.001	0.023	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.008	0.005	0.0	0.013	0.01	0.062	0.077	0.013	0.0	0.0	0.0	0.0	0.005	0.001	0.109	0.016	0.116	0.005	0.0	0.0	0.0	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.383	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.002	0.021	0.0	0.006
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.002	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.011	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.043	0.0	0.04	0.002	0.004	0.0	0.0	0.41	0.0	0.0	0.151	0.0	0.007	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.006
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.02	0.0	0.024	0.0	0.031	0.001	0.0	0.0	0.0	0.566	0.0	0.0	0.026	0.985	0.003	0.031	0.016	0.044	0.047	0.254	0.05	0.016
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2.632	1.379	3.065	2.653	2.034	2.592	2.68	3.224	2.294	3.166	2.693	1.007	1.618	2.756	2.734	2.744	0.838	2.75	1.812	2.147	2.853	1.054
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0528A694B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.354	0.11	0.464	0.45	0.16	0.614	0.179	0.428	1.001	0.353	0.53	0.109	0.341	0.648	0.74	0.264	0.309	0.472	0.299	0.926	0.069	0.14
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.003	0.089	0.004	0.502	0.138	0.517	0.137	0.289	0.0	0.0	0.0	0.017	0.144	0.001	0.647	0.133	0.4	0.017	0.009	0.001	0.0	0.012
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.03	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.04	0.001	0.0	0.0	0.0	0.432	0.017	0.003	0.0	0.033
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.02	0.0	0.024	0.0	0.031	0.001	0.0	0.0	0.0	0.566	0.0	0.0	0.026	0.985	0.003	0.031	0.016	0.044	0.047	0.254	0.05	0.016
GPR42	O15529	False	GPR42_HUMAN		CPI-SS022AE18AF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.19	0.016	0.19	0.271	0.082	0.336	0.049	0.826	0.078	0.0	0.998	0.039	0.14	0.017	0.336	0.124	0.076	0.244	0.042	0.109	0.223	0.033
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.02	0.0	0.024	0.0	0.031	0.001	0.0	0.0	0.0	0.566	0.0	0.0	0.026	0.985	0.003	0.031	0.016	0.044	0.047	0.254	0.05	0.016
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	2.632	1.379	3.065	2.653	2.034	2.592	2.68	3.224	2.294	3.166	2.693	1.007	1.618	2.756	2.734	2.744	0.838	2.75	1.812	2.147	2.853	1.054
GAST	P01350	False	GAST_HUMAN		CPI-SS079FD6EC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.011	0.0	0.0	0.0	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	2.632	1.379	3.065	2.653	2.034	2.592	2.68	3.224	2.294	3.166	2.693	1.007	1.618	2.756	2.734	2.744	0.838	2.75	1.812	2.147	2.853	1.054
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0AA5ECE7B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.001	0.0	0.0	0.0	0.0	0.062	0.0	0.008
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.202	0.0	0.008	0.001	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.022
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.354	0.11	0.464	0.45	0.16	0.614	0.179	0.428	1.001	0.353	0.53	0.109	0.341	0.648	0.74	0.264	0.309	0.472	0.299	0.926	0.069	0.14
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0D26F639E	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.124	0.0	0.719	0.002	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.098	0.193	0.001	0.0	0.003	0.005	0.214	0.0	0.001	0.134	0.012
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.002	0.0	0.124	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.13	0.001	0.003	0.0	0.001	0.27	0.0	0.001	0.0	0.006
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.088	0.0	0.033	0.001	0.02	0.0	0.073	0.0	0.209	0.968	0.57	0.0	0.053	1.385	0.005	0.014	0.004	0.011	0.468	0.875	0.006	0.136
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.03	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.04	0.001	0.0	0.0	0.0	0.432	0.017	0.003	0.0	0.033
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.043	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.011	0.042	0.069	0.0	0.065
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.03	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.04	0.001	0.0	0.0	0.0	0.432	0.017	0.003	0.0	0.033
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	3.097	0.209	0.744	0.32	0.287	0.257	0.314	0.115	0.336	0.819	0.418	0.278	0.904	0.028	0.26	0.182	0.028	0.225	2.817	0.9	0.454	2.649
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.0	0.0	0.0	0.011	0.007	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.089	0.016	0.372	0.1	0.631	0.182	0.203	0.0	0.0	0.201	0.012	0.083	0.002	0.821	0.212	0.535	0.011	0.028	0.005	0.035	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	4.278	1.017	1.363	2.429	1.724	1.573	1.814	0.94	0.882	2.106	1.161	0.568	2.033	0.258	1.948	1.777	0.117	0.958	3.709	2.135	2.234	2.576
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.12	0.0	0.055	0.028	0.015	0.01	0.087	0.014	0.117	0.797	0.104	0.024	0.071	0.767	0.04	0.032	0.309	0.076	0.141	0.618	0.098	0.164
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.023	0.047	0.327	0.219	0.064	0.282	0.124	0.084	0.0	0.302	0.489	0.043	0.164	0.553	0.426	0.15	0.206	0.224	0.095	0.394	0.035	0.047
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.287	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.321	0.0	0.529	0.005	0.051	0.012	0.056	0.0	0.0	0.794	0.0	0.105	0.237	1.391	0.011	0.019	0.018	0.613	0.186	1.229	0.221	0.206
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.089	0.016	0.372	0.1	0.631	0.182	0.203	0.0	0.0	0.201	0.012	0.083	0.002	0.821	0.212	0.535	0.011	0.028	0.005	0.035	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.152	0.009	0.254	0.055	0.286	0.068	0.903	0.0	0.0	0.0	0.019	0.058	0.0	0.382	0.08	0.088	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.278	1.017	1.363	2.429	1.724	1.573	1.814	0.94	0.882	2.106	1.161	0.568	2.033	0.258	1.948	1.777	0.117	0.958	3.709	2.135	2.234	2.576
