gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	IRC	Ionocyte	MC	MoMa	NKT	NKT-p	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.028	0.0	0.104	0.005	0.0	0.124	0.0	0.0	0.0	0.069	0.311	0.146	0.053	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.091	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.664	0.056	0.608	0.075	0.014	0.034	0.0	1.102	0.987	0.0	0.008	0.083	0.013	0.062	0.458	0.0	0.802	0.0	0.323
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.005	0.0	0.0	0.0	0.0	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.0	0.016	0.0	0.0	0.594	0.0	0.0	0.0	0.0	0.031	0.0	0.001	0.0	0.0	0.0	0.0	0.0
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.0	0.0	0.025	0.024	0.026	0.0	0.0	0.0	0.0	0.0	0.048	0.032	0.11	0.0	0.0	0.016	0.0	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.0	0.0	0.0	0.003	0.0	0.0	0.296	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.019	0.0	0.03
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2.621	1.331	2.946	2.78	1.873	1.875	2.674	2.785	1.43	3.125	1.127	2.527	2.417	1.876	2.551	0.0	2.217	0.828	1.431
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.155	0.47	0.387	0.608	0.138	0.186	0.642	0.472	0.0	0.0	0.496	1.074	0.551	0.441	0.662	0.0	0.484	0.361	0.149
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.187	0.0	0.624	0.135	0.111	0.373	0.0	0.273	0.0	0.358	0.632	0.252	0.297	0.0	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.048	0.0	0.09	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.234	0.0	0.0	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.019	0.0	0.03
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.0	0.155	0.107	0.257	0.053	0.028	0.866	0.0	0.126	0.0	0.073	0.342	0.128	0.09	0.239	0.0	0.034	0.0	0.067
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.019	0.0	0.03
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.179	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.238	0.0	0.0	0.0	0.089
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.277	0.0	0.0	0.0	0.011	0.0	0.0	0.346	0.0	0.0	0.0	0.0
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.126	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.915	0.0	0.201
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.048	0.0	0.09	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.234	0.0	0.0	0.0	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.463	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.042	0.0	0.056
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.048	0.0	0.09	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.234	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	2.848	0.026	0.544	0.375	0.095	0.118	0.094	0.0	3.622	0.0	0.024	0.308	0.098	0.001	0.204	4.882	2.312	1.382	4.12
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.004	0.0	0.0	0.0	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.094	0.0	0.478	0.105	0.173	0.126	0.0	0.0	0.0	0.189	0.801	0.362	0.673	0.0	0.0	0.106	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	4.348	0.364	1.042	2.449	1.075	0.817	0.222	0.313	4.803	0.0	0.401	1.899	1.288	0.156	0.717	4.548	3.157	3.81	4.173
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.18	0.0	0.0	0.025	0.025	0.089	0.02	0.0	0.158	0.0	0.072	0.046	0.023	0.07	0.062	0.0	0.559	0.361	0.075
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.0	0.09	0.297	0.279	0.035	0.184	0.094	0.0	0.476	0.0	0.04	0.46	0.19	0.319	0.284	2.98	0.568	0.0	0.106
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.5	0.004	0.33	0.002	0.0	0.0	0.0	0.0	0.525	0.0	0.0	0.016	0.0	0.001	0.394	0.0	1.283	0.667	0.04
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.094	0.0	0.478	0.105	0.173	0.126	0.0	0.0	0.0	0.189	0.801	0.362	0.673	0.0	0.0	0.106	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.348	0.364	1.042	2.449	1.075	0.817	0.222	0.313	4.803	0.0	0.401	1.899	1.288	0.156	0.717	4.548	3.157	3.81	4.173
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07F042076	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0	0.403	0.0	0.329	0.064	0.06	1.012	0.0	0.0	0.0	0.168	0.7	0.132	0.128	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.51	0.436	0.654	0.019	0.047	0.447	0.212	2.313	1.412	0.0	0.555	0.827	0.205	0.102	0.908	0.0	2.006	0.0	0.244
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.0	0.0	0.0	0.437	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.014	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	2.848	0.026	0.544	0.375	0.095	0.118	0.094	0.0	3.622	0.0	0.024	0.308	0.098	0.001	0.204	4.882	2.312	1.382	4.12
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.421	0.016	0.362	0.253	0.072	0.114	0.109	0.15	0.158	0.0	0.104	0.295	0.029	0.036	0.307	0.0	0.889	0.667	0.029
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.986	0.052	0.0	0.168	0.01	0.09	0.055	0.0	0.0	0.0	0.0	0.155	0.023	0.011	0.027	0.0	0.17	0.0	0.22
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.096	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.658	0.0	0.0	0.002	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.001	0.006	0.0	0.044	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	4.348	0.364	1.042	2.449	1.075	0.817	0.222	0.313	4.803	0.0	0.401	1.899	1.288	0.156	0.717	4.548	3.157	3.81	4.173
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.18	0.0	0.0	0.025	0.025	0.089	0.02	0.0	0.158	0.0	0.072	0.046	0.023	0.07	0.062	0.0	0.559	0.361	0.075
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.18	0.0	0.0	0.025	0.025	0.089	0.02	0.0	0.158	0.0	0.072	0.046	0.023	0.07	0.062	0.0	0.559	0.361	0.075
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.0	0.09	0.297	0.279	0.035	0.184	0.094	0.0	0.476	0.0	0.04	0.46	0.19	0.319	0.284	2.98	0.568	0.0	0.106
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.035	0.033	0.075	0.106	0.008	0.087	0.0	0.0	0.38	0.0	0.0	0.169	0.03	0.036	0.046	0.0	0.168	0.0	0.025
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.19	0.0	0.069	0.174	0.043	0.0	0.05	0.15	0.0	0.0	0.0	0.133	0.033	0.012	0.224	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS004A073E1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.0	0.0	0.0	0.0	0.0	0.0	0.256	0.0	0.0	0.0	0.122	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	1.51	0.436	0.654	0.019	0.047	0.447	0.212	2.313	1.412	0.0	0.555	0.827	0.205	0.102	0.908	0.0	2.006	0.0	0.244
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0BDC04683	0.082	0.014	0.0	0.024	0.0	0.083	0.02	0.0	0.0	0.0	0.0	0.182	0.08	0.65	0.0	0.0	0.217	0.0	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.0	0.0	0.0	0.437	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.014	0.0	0.0	0.0	0.0	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.0	0.015	0.0	0.002	0.002	0.026	0.362	0.0	0.0	0.0	0.008	0.025	0.0	0.019	0.0	0.0	0.055	1.688	0.025
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.0	0.0	0.0	0.32	0.017	0.034	0.216	0.0	0.0	0.0	0.0	0.118	0.035	0.022	0.0	0.0	0.124	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.0	0.015	0.0	0.002	0.002	0.026	0.362	0.0	0.0	0.0	0.008	0.025	0.0	0.019	0.0	0.0	0.055	1.688	0.025
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.0	0.0	0.0	0.32	0.017	0.034	0.216	0.0	0.0	0.0	0.0	0.118	0.035	0.022	0.0	0.0	0.124	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.024	0.0	0.018	0.0	0.0	0.128	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.0	0.015	0.0	0.002	0.002	0.026	0.362	0.0	0.0	0.0	0.008	0.025	0.0	0.019	0.0	0.0	0.055	1.688	0.025
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.024	0.0	0.018	0.0	0.0	0.128	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.0	0.053	0.155	0.143	0.007	0.088	0.327	0.463	0.0	0.0	0.0	0.08	0.066	0.083	0.062	0.0	0.0	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.0	0.015	0.0	0.002	0.002	0.026	0.362	0.0	0.0	0.0	0.008	0.025	0.0	0.019	0.0	0.0	0.055	1.688	0.025
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.0	0.0	0.0	0.32	0.017	0.034	0.216	0.0	0.0	0.0	0.0	0.118	0.035	0.022	0.0	0.0	0.124	0.0	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.0	0.0	0.0	0.32	0.017	0.034	0.216	0.0	0.0	0.0	0.0	0.118	0.035	0.022	0.0	0.0	0.124	0.0	0.0
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	0.812	0.127	0.731	0.735	0.33	0.134	0.802	0.717	0.154	0.0	0.407	0.703	0.299	0.182	0.514	0.0	0.278	0.0	0.187
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	2.939	1.421	3.033	3.127	1.868	2.447	3.282	2.236	2.3	1.426	1.485	2.977	2.814	1.921	2.742	0.0	2.706	1.863	1.873
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.812	0.127	0.731	0.735	0.33	0.134	0.802	0.717	0.154	0.0	0.407	0.703	0.299	0.182	0.514	0.0	0.278	0.0	0.187
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.182
